startupId,name,description,domain,startYear,location,contact,minFunding,growth_year1,growth_year2,growth_year3
169,AquaDrone Farming,Uses underwater drones for monitoring and managing aquatic farms and aquaculture.,agritech,2022,"Bergen, Norway",aquadronefarming@gmail.com,500000,1.7,2,2.3
170,BioTech Diagnostics,Develops advanced biotech diagnostic tools for rapid and accurate disease detection.,healthtech,2019,"Cambridge, MA",biotechdiagnostics@gmail.com,800000,1.25,1.55,1.85
171,SustainableHome Goods,Online store offering a wide range of sustainable and eco-friendly home products.,e-commerce,2020,"Amsterdam, Netherlands",sustainablehomegoods@gmail.com,700000,1.9,2.2,2
172,GlampingGetaways,Platform for booking luxury glamping experiences in unique natural settings.,travel,2021,"Asheville, NC",glampinggetaways@gmail.com,800000,1.8,2.1,2.4
173,AI for Finance,"Provides AI-driven solutions for fraud detection, algorithmic trading, and risk management in finance.",fintech,2019,"London, UK",aiforfinance@gmail.com,800000,1.4,1.7,2
174,RemoteLearning Hub,"All-in-one platform for remote learning, offering virtual classrooms and collaboration tools.",edtech,2020,"Toronto, Canada",remotelearninghub@gmail.com,500000,1.7,2,2.3
175,GeoThermal Systems,Installs and maintains geothermal heating and cooling systems for homes and businesses.,clean energy,2019,"Denver, CO",geothermalsystems@gmail.com,400000,1.5,1.8,2.1
176,FoodTech Innovations,Develops innovative food processing technologies and sustainable food ingredients.,food,2018,"San Francisco, CA",foodtechinnovations@gmail.com,800000,1.6,1.9,2.2
177,InsurAI Solutions,"AI-driven platform for optimizing insurance operations, from underwriting to claims processing.",fintech,2020,"London, UK",insuraisolutions@gmail.com,700000,1.6,1.9,2.2
178,PrecisionAqua Farming,High-tech aquaculture solutions for sustainable and efficient fish farming.,agritech,2021,"Oslo, Norway",precisionaquafarming@gmail.com,700000,1.8,2.1,2.4
179,WearableHealth Tech,Develops advanced wearable devices for continuous health monitoring and personalized insights.,healthtech,2019,"Seoul, South Korea",wearablehealthtech@gmail.com,650000,1.5,1.8,2.1
180,EcoFashion Collective,Online marketplace for ethically produced and sustainable fashion brands.,e-commerce,2020,"Copenhagen, Denmark",ecofashioncollective@gmail.com,400000,1.9,2.2,2
181,CruiseLine Booking,Comprehensive online platform for booking cruises and personalized cruise experiences.,travel,2021,"Miami, FL",cruiselinebooking@gmail.com,300000,1.7,2,2.3
182,AI for Healthcare,"Provides AI-powered solutions for medical imaging analysis, drug discovery, and personalized treatment.",ai,2018,"Boston, MA",aiforhealthcare@gmail.com,500000,1.3,1.6,1.9
183,CodingKids Academy,Online coding courses and workshops designed specifically for children and teenagers.,edtech,2020,"San Francisco, CA",codingkidsacademy@gmail.com,800000,2,2.3,2.6
184,SolarPanel Recycling,Develops advanced technologies for recycling and repurposing end-of-life solar panels.,clean energy,2022,"Dresden, Germany",solarpanelrecycling@gmail.com,200000,1.7,2,2.3
185,SustainableEats,Meal kit delivery service focusing on zero-waste packaging and locally sourced ingredients.,food,2021,"Portland, OR",sustainableeats@gmail.com,400000,2.1,2.5,2.3
186,DigitalWallet Plus,Enhanced digital wallet with integrated budgeting tools and cryptocurrency support.,fintech,2019,Singapore,digitalwalletplus@gmail.com,800000,1.6,1.9,2.2
187,CropHealth AI,AI-powered mobile app for farmers to diagnose crop diseases and get immediate solutions.,agritech,2020,"Hyderabad, India",crophealthai@gmail.com,750000,1.8,2.1,2.4
188,HomeCare Connect,Platform connecting families with vetted home care professionals for elderly and special needs individuals.,healthtech,2021,"Dallas, TX",homecareconnect@gmail.com,600000,1.9,2.2,2.5
189,CuratedBooks Online,Online bookstore offering curated selections of books based on personalized recommendations.,e-commerce,2020,"London, UK",curatedbooksonline@gmail.com,700000,1.7,2,2.2
190,DesertAdventures,Specialized travel agency offering unique desert expeditions and cultural experiences.,travel,2019,"Dubai, UAE",desertadventures@gmail.com,300000,1.4,1.7,2
191,Personalized AI,Develops AI models that adapt and personalize experiences for individual users across various applications.,ai,2022,"San Francisco, CA",personalizedai@gmail.com,550000,1.6,1.9,2.2
192,SkillFlow Learning,"Online platform providing short, interactive courses for professional skill enhancement.",edtech,2021,"Stockholm, Sweden",skillflowlearning@gmail.com,150000,2,2.3,2.6
193,GreenTech Solutions,Provides consulting and implementation services for sustainable and clean energy projects.,clean energy,2018,"Berlin, Germany",greentechsolutions@gmail.com,600000,1.3,1.6,1.9
194,FarmToTable Direct,Platform connecting consumers directly with local farms for fresh produce and artisanal goods.,food,2020,"Boise, ID",farmtotabledirect@gmail.com,600000,2.1,2.5,2.3
195,InvestTech Hub,"Provides technology solutions for investment firms, including market analysis and trading platforms.",fintech,2019,"New York, NY",investtechhub@gmail.com,400000,1.4,1.7,2
196,SmartAgriculture Systems,"Integrates IoT sensors and AI for intelligent irrigation, fertilization, and pest control in farms.",agritech,2021,"Raleigh, NC",smartagriculturesystems@gmail.com,900000,1.8,2.1,2.4
197,PrecisionMed AI,"AI-powered platform for personalized medicine, analyzing patient data for tailored treatments.",healthtech,2018,"Boston, MA",precisionmedai@gmail.com,200000,1.2,1.5,1.8
198,GadgetSphere Online,"E-commerce platform for innovative gadgets, smart devices, and consumer electronics.",e-commerce,2019,"Shenzhen, China",gadgetsphereonline@gmail.com,900000,1.6,1.9,2.2
199,WorldTour Experiences,Offers customizable multi-country and round-the-world travel itineraries.,travel,2020,"London, UK",worldtourexperiences@gmail.com,300000,1.5,1.8,2.1
200,AI for Creativity,"AI tools for assisting creative professionals in various fields, from writing to graphic design.",ai,2021,"Tokyo, Japan",aiforcreativity@gmail.com,500000,1.7,2,2.3
